Front,Back
Long time no see,خیلی وقته ندیدمت (Kheili vaghte nadidamet)
I have an Instagram or I have an Instagram account,من اینستاگرام دارم (Man Instagram daram)
How’s it going? Can’t complain,How’s it going?: اوضاع چطوره؟ (Ozaa chetore?) Can’t complain: نمی‌تونم گله کنم (Nemitunam gele konam)
I miss you so much,خیلی دلم برات تنگ شده (Kheili delam barat tang shode)
My dad doesn’t go to work,بابام سرکار نمی‌ره (Babam sarekar nemire)
I take out rubbish at 9 o’clock,من زباله‌ها رو ساعت نه بیرون می‌برم (Man zobala-ha ro saat-e noh birun mibaram)
I sleep early at night,من شب‌ها زود می‌خوابم (Man shab-ha zood mikhabam)
I stay awake till morning,من تا صبح بیدار می‌مونم (Man ta sobh bidar mimunam)
I am tired of ## ing,من خسته شدم (Man az ## khaste shodam)
Sanitizer,ضدعفونی‌کننده (Zed-e-ufuni konande)
Give it to me,اون رو به من بده (Oon ro be man bede)
Welcome to our party,به مهمانی ما خوش آمدید (Be mehmani-ye ma khosh amadid)
Swimming pool,استخر (Estakhr)
I’m allergic to something,من به چیزی حساسیت دارم (Man be chizi hasasiat daram)
Its people,مردمش (Mardomesh)
I want to buy a gift for her birthday,می‌خوام برای تولدش یه هدیه بخرم (Mikhvam baraye tavalodesh ye hediye bekharam)
My house is located in Esfahan,خونه‌ام تو اصفهان قرار داره (Khoonam too Esfahan gharar dare)
I want to teach you new things,می‌خوام چیزهای جدید بهت یاد بدم (Mikhvam chizhay-e jadid behet yad bedam)
It’s amazing,این شگفت‌انگیزه (In shegeft-angize)
Listen carefully,با دقت گوش کن (Ba deqqat goosh kon)
He is handsome,او خوش‌تیپه (Ou khosh-tipe)
Uncle مرد‌های فامیل و فرقی نداره,دایی / عمو (Dayi / Amoo)
Auntie,خاله / عمه (Khale / Amme)
Cousin,پسرعمو / پسرخاله / دخترعمو / دخترخاله (Pesar-amoo / Pesar-khale / Dokhtar-amoo / Dokhtar-khale)
Ex-wife or ex-boyfriend,همسر سابق / دوست‌پسر سابق (Hamsar-e sabegh / Doost-pesar-e sabegh)
In-law فامیل همسر,خویشاوندان همسر (Kheishavandan-e hamsar)
He is my stepson or stepmom,او پسرخوانده‌ام / او نامادری‌ام است (Ou pesarkhande-am ast / Ou namadari-am ast)
Grandpa or grandchildren,پدربزرگ / نوه‌ها (Pedarbozorg / Nave-ha)
Niece خواهر زاده,خواهرزاده (Khahar-zade)
Nephew برادر زاده,برادرزاده (Baradar-zade)
Thank you for doing something,تشکر می‌کنم که چیزی انجام دادی (Tashakkor mikonam ke chizi anjam dadi)
Join,پیوستن (Peyvastan)
A place where,جایی است که (Jayi ast ke)
Technical problem,مشکل فنی (Moshkel-e fanni)
I’m just kidding/joking,فقط شوخی می‌کنم (Faghat shokhi mikonam)
Have fun,خوش بگذران (Khosh begzar)
Get on plane,سوار هواپیما شدن (Savar-e havapeyma shodan)
Church,کلیسا (Kelisa)
Pray,دعا کردن (Do’a kardan)
Pray for me,برایم دعا کن (Barayam do’a kon)
Pray to God,به خدا دعا کردن (Be Khoda do’a kardan)
Bookstore,کتاب‌فروشی (Ketabforushi)
It’s a quiet place,اینجا جای آرامی است (Inja jay-e arami ast)
Police station,کلانتری (Kalantari)
Performance in theater,اجرا در تئاتر (Ejra dar teatr)
Cemetery,قبرستان (Ghabrestan)
Seasons,فصل‌ها (Fasl-ha)
Spring,بهار (Bahar)
Fall (In the fall),پاییز (Payiz); در پاییز (Dar payiz)
In early spring,در اوایل بهار (Dar avayel-e bahar)
In mid spring,در اواسط بهار (Dar avasat-e bahar)
You are late,تو دیر کردی (To dir kardi)
Believe me,باورم کن (Bavaram kon)
Crazy about (Crazy about playing football),دیوانه‌ی (Divane-ye); دیوانه‌ی بازی کردن فوتبال (Divane-ye bazi kardan-e football)
Somebody’s knocking,کسی در می‌زند (Kasi dar mizanad)
"Do, does, did",انجام دادن (Anjam dadan); does: third-person singular; did: past tense
I do want this / He does want this,من واقعاً این را می‌خواهم (Man vaghe’an in ra mikhaham) / او واقعاً این را می‌خواهد (Ou vaghe’an in ra mikhahad)
I did go there,من آنجا رفتم (Man anja raftam)
Go => Went,رفتن (Raftan) => رفت (Raft)
Type => Typed,تایپ کردن (Typ kardan) => تایپ کرد (Typ kard)
Drive => Drove,رانندگی کردن (Ranandegi kardan) => رانندگی کرد (Ranandegi kard)
"Have, has => Had (I had a good day)",داشتن (Dashtan); has: third-person singular; had: past tense; من روز خوبی داشتم (Man rooz-e khoobi dashtam)
We had a problem,ما مشکلی داشتیم (Ma moshkeli dashtim)
I said it to you,من این را به تو گفتم (Man in ra be to goftam)
She told me,او به من گفت (Ou be man goft)
Yesterday I woke up,دیروز بیدار شدم (Dirooz bidar shodam)
I saw him,من او را دیدم (Man ou ra didam)
I slept a lot last night,دیشب خیلی خوابیدم (Dishab kheili khabidam)
"When I got home, I want to call you","وقتی به خانه رسیدم، می‌خواهم به تو زنگ بزنم (Vaghti be khane residam, mikhaham be to zang bezanam)"
We spoke about music,ما درباره موسیقی صحبت کردیم (Ma darbare-ye musighi sohbat kardim)
We thought about it,ما درباره‌اش فکر کردیم (Ma darbare-ash fekr kardim)
She taught me everything,او همه چیز را به من یاد داد (Ou hame chiz ra be man yad dad)
I thought you were dead,فکر کردم تو مرده‌ای (Fekr kardam to morde-i)
I studied for two weeks and I passed,دو هفته درس خواندم و قبول شدم (Do hafte dars khandam va ghabool shodam)
Making friends,دوست پیدا کردن (Doost peyda kardan)
Friendly atmosphere,فضای دوستانه (Fazay-e doostane)
Co-worker,همکار (Hamkar)
Kind,مهربان (Mehraban)
A person who,شخصی که (Shakhsi ke)
Stay,ماندن (Mandan)
"Duty, duties","وظیفه، وظایف (Vazife, vazayef)"
It’s easy to do,انجام دادنش آسان است (Anjam dadanash asan ast)
Promise me,به من قول بده (Be man ghol bede)
I don’t wake up late,من دیر بیدار نمی‌شم (Man dir bidar nemisham)
Try to do something,تلاش کن چیزی انجام بدی (Talash kon chizi anjam bedi)
Don’t be lazy,تنبل نباش (Tanbal nabash)
Wash the dishes,ظرف‌ها رو بشور (Zarf-ha ro beshoor)
Meal,غذا (Ghaza)
I don’t cook,من آشپزی نمی‌کنم (Man ashpazi nemikonam)
I love Iranian dishes,من غذاهای ایرانی رو دوست دارم (Man ghazahay-e Irani ro doost daram)
I don’t watch TV at all,من اصلاً تلویزیون نگاه نمی‌کنم (Man aslan televizyon negah nemikonam)
Unlike me,برخلاف من (Bar khalaf-e man)
Hang out with my friends,با دوستام معاشرت کردن (Ba doostam mo’asherat kardan)
Classmate,همکلاسی (Hamkelasi)
Trust them,بهشون اعتماد کن (Behshoon etemad kon)
I don’t have any Facebook account,من هیچ حساب فیسبوکی ندارم (Man hich hesab-e Facebooki nadaram)
The best application,بهترین برنامه (Behtarin barname)
In the world,در جهان (Dar jahan)
I can’t handle it,نمی‌تونم تحملش کنم (Nemitonam tahammolash konam)
I don’t want to trust social networks,نمی‌خوام به شبکه‌های اجتماعی اعتماد کنم (Nemitonam be shabake-hay-e ejtemayi etemad konam)
They lie,اونا دروغ می‌گن (Oona dorogh migan)
Show off,خودنمایی کردن (Khodnamayi kardan)
Make fun of someone,کسی رو مسخره کردن (Kasi ro maskhare kardan)
Talk behind friends’ backs,پشت سر دوستان حرف زدن (Posht-e sar-e doostan harf zadan)
I’m not on a diet,من رژیم ندارم (Man rezhim nadaram)
Drink water,آب بنوش (Ab benoosh)
Make a decision,تصمیم گرفتن (Tasmim gereftan)
Angry,عصبانی (Asabani)
Take a deep breath,نفس عمیق بکش (Nafas-e amigh bekesh)
I was born in Iran,من در ایران به دنیا آمدم (Man dar Iran be donya amadam)
Iran is my country,ایران کشور من است (Iran keshvar-e man ast)
Iran is our country,ایران کشور ما است (Iran keshvar-e ma ast)
Iran is a very big country and beautiful country,ایران یک کشور خیلی بزرگ و زیباست (Iran yek keshvar-e kheili bozorg va zibast)
There are four seasons in Iran,در ایران چهار فصل وجود دارد (Dar Iran chahar fasl vojood darad)
Season number one is spring,فصل شماره یک بهار است (Fasl-e shomare yek bahar ast)
All seasons are really beautiful,همه فصل‌ها واقعاً زیبا هستند (Hame fasl-ha vaghe’an ziba hastand)
But my favorite season is winter,اما فصل مورد علاقه‌ام زمستان است (Ama fasl-e mored-e alaghe-am zemestan ast)
Breezy and always rains,بادی و همیشه باران می‌بارد (Badi va hamishe baran mibarad)
"It’s not cold, it’s cool","سرد نیست، خنک است (Sard nist, khonak ast)"
And I love walking in the rain,و من عاشق پیاده‌روی در باران هستم (Va man ashegh-e piyade-ravi dar baran hastam)
Walking in the rain is enjoyable for me,پیاده‌روی در باران برای من لذت‌بخشه (Piyade-ravi dar baran baraye man lezzat-bakhshe)
It snows during the winter,در زمستان برف می‌بارد (Dar zemestan barf mibarad)
People travel in early summer,مردم در اوایل تابستان سفر می‌کنند (Mardom dar avayel-e tabestan safar mikonand)
He doesn’t go to school during summer,او در تابستان به مدرسه نمی‌رود (Ou dar tabestan be madrese nemiravad)
He plays with his friend,او با دوستش بازی می‌کند (Ou ba doostash bazi mikonad)
In late summer everyone goes on vacation,در اواخر تابستان همه به تعطیلات می‌روند (Dar avakher-e tabestan hame be ta’tilat miravand)
Educational system,نظام آموزشی (Nezam-e amoozeshi)
This topic,این موضوع (In moghoo)
Learn more,بیشتر یاد بگیر (Bishtar yad begir)
It’s nice to have friends,داشتن دوستان خوبه (Dashtan-e doostan khoobe)
To know more,بیشتر دانستن (Bishtar danestan)
All right or right,باشه یا درست (Bashe ya dorost)
You got it,فهمیدی (Fahmidi)
University,دانشگاه (Daneshgah)
But,اما (Ama)
Associate’s Degree (AD),مدرک کاردانی (Madrak-e kardani)
Bachelor’s Degree (BS),مدرک کارشناسی (Madrak-e karshenasi)
"Math, Mathematics","ریاضی، ریاضیات (Riazi, riaziyat)"
History,تاریخ (Tarikh)
Master’s Degree,مدرک کارشناسی ارشد (Madrak-e karshenasi arshad)
You see,متوجهی؟ (Motavajehi?)
Look at me,به من نگاه کن (Be man negah kon)
I think everyone needs to pass these courses,فکر می‌کنم همه باید این درس‌ها رو پاس کنند (Fekr mikonam hame bayad in dars-ha ro pas konand)
Pass,قبول شدن (Ghabool shodan)
Fail,رد شدن (Rad shodan)
Generally,به طور کلی (Be toor-e koli)
Huge,بزرگ (Bozorg)
Part,بخش (Bakhsh)
Friendship,دوستی (Doosti)
Relationship,رابطه (Rabete)
Translate,ترجمه کردن (Tarjome kardan)
Trying and failing are huge parts of our lives,تلاش کردن و شکست خوردن بخش‌های بزرگی از زندگی ما هستند (Talash kardan va shekast khordan bakhsh-hay-e bozorgi az zendegi-ye ma hastand)
When you grow up,وقتی بزرگ می‌شی (Vaghti bozorg mishavi)
Actually,در واقع (Dar vaghe’)
You know,می‌دونی (Midooni)
One of my favorite,یکی از مورد علاقه‌های من (Yeki az mored-e alaghe-hay-e man)
Sometimes stormy,گاهی طوفانی (Gahi tofani)
Anyways,به هر حال (Be har hal)
"I => Me, You want me","من (Man, subjective) => من (Man, objective); تو من رو می‌خوای (To man ro mikhahi)"
You => You,"تو (To, subjective and objective)"
"We => Us, He loves us","ما (Ma, subjective) => ما (Ma, objective); او ما را دوست دارد (Ou ma ra doost darad)"
"They => Them, I love them","آنها (Anha, subjective) => آنها (Anha, objective); من آنها را دوست دارم (Man anha ra doost daram)"
"She => Her, He => Him, Look at her","او (Ou, female, subjective) => او (Ou, objective); او (Ou, male, subjective) => او (Ou, objective); به او نگاه کن (Be ou negah kon, female)"
You don’t love me,تو من رو دوست نداری (To man ro doost nadari)
"Try with me, Nicole Scherzinger",با من تلاش کن (Ba man talash kon)
Without me,بدون من (Bedoon-e man)
"Are you with me, Lost Frequencies",با من هستی؟ (Ba man hasti?)
"Don’t smile at me, Billie Eilish",به من لبخند نزن (Be man labkhand nazan)
I'm feeling great,** من احساس خیلی خوبی دارم
I'm doing great,** اوضاعم خیلی خوبه
I'm feeling much better now,** الان خیلی بهترم
Is she going to the party?,** آیا او به مهمانی می‌رود؟
She is feeling lonely,** او احساس تنهایی می‌کند
I'm not asking you,** من از تو نمی‌پرسم
Clue,** سرنخ
This is an excuse,** این یک بهانه است
He is also an English teacher and we are trying to teach you,** او هم معلم انگلیسی است و ما سعی داریم به تو آموزش بدهیم
I'm happy with my job,** از کارم راضی‌ام
I'm happy with my income,** من از درآمدم راضی‌ام
I guess you are not happy with me,** فکر کنم از من راضی نیستی
It's not hard,** سخت نیست
All around the world,** در سراسر جهان
It is an international language,** این یک زبان بین‌المللی است
Future,** آینده
Whatever,** هرچه / هر چی
Train my mind,** ذهنم را تمرین/تقویت کنم
"Classroom (A, B)",** کلاس (به معنی اتاق)
"Class (people, students)",** کلاس (به معنی دانش‌آموزها یا گروه)
Common mistake,** اشتباه رایج
Save,** ذخیره کردن / نجات دادن / پس‌انداز کردن
Cranberry sauce,سس کرنبری (Sose karenberi)
Soggy,خیس و نرم (Khees va narm)
Vein,رگ (Rag)
Stinky,بدبو (Badboo)
Baggage claim,محل دریافت چمدان (Mahal-e daryaft-e chemdan)
Slowpokes,افراد کند (Afrad-e kand)
Pal,رفیق (Rafigh)
You owe me one,تو به من یکی بدهکار هستی (To be man yeki bedehkar hasti)
Then you better go take that back,پس بهتره بری و اون رو پس بگیری (Pas behtare bari va oon ro pas begiri)
Silver lining,جنبه مثبت (Janbe-ye mosbat)
Tailor,خیاط (Khayyat)
Cave people,مردم غارنشین (Mardom-e gharneshin)
I balled it up,من اون رو مچاله کردم (Man oon ro mochale kardam)
Fluffed that pillow,اون بالش رو نرم کردم (Oon balesh ro narm kardam)
Ammunition,مهمات (Mohammat)
All chaotic and twirly,کاملاً آشوبناک و چرخان (Kamelan ashoobnak va charkhan)
Has anybody seen my ring?,کسی انگشتر من رو دیده؟ (Kasi angoshtar-e man ro dide?)
Dreading,ترسیدن یا نگران بودن (Tarsidan ya negaran boodan)
Stomped on your heart,روی قلبت پا گذاشتم (Roo-ye ghalbet pa gozashtam)
Doy (زرشک),زرشک (Zereshk)
Ruined,خراب شده (Kharab shode)
I know this is going to sound unbelievably selfish,می‌دونم این خیلی خودخواهانه به نظر میاد (Midoonam in kheili khodkhahane be nazar miad)
